,Scannumber,Timesweep,Status,I0(5.318|4.199),I1(3.197|2.225),conversion,treaction,tres,GPC_number,Mn,Mw,D,tres_GPC,Mn theory
0,0,1,No,16.991,34,0.250397059,,,,,,,,
1,1,1,No,16.424,35.8,0.311843575,,,,,,,,
2,2,1,No,23,34.9,0.011461318,,,,,,,,
3,3,1,No,16.991,38.4,0.336289063,,,,,,,,
4,4,1,No,16.424,34.2,0.279649123,,,,,,,,
5,5,1,No,23,36.36,0.051155116,,,,,,,,
6,6,1,No,16.991,36.66,0.304787234,,,,,,,,
7,7,1,No,16.424,36.96,0.333441558,,,,,,,,
8,8,1,No,23,37.26,0.074074074,,,,,,,,
9,9,1,No,16.991,37.56,0.321445687,,,,,,,,
10,10,1,No,16.991,37.86,0.326822504,,,,,,,,
11,11,1,No,16.424,38.16,0.354402516,,,,,,,,
12,12,1,No,23,38.46,0.102964119,,,,,,,,
13,13,1,No,16.991,38.76,0.34245356,,,,,,,,
14,14,1,No,16.991,39.06,0.34750384,,,,,,,,
15,15,1,No,16.424,39.36,0.374085366,,,,,,,,
16,16,1,No,23,39.66,0.1301059,,,,,,,,
17,17,1,No,16.991,39.96,0.3621997,,,,,,,,
18,18,1,No,16.991,40.26,0.36695231,,,,,,,,
19,19,1,No,16.424,40.56,0.39260355,,,,,,,,
20,20,1,Timesweep,23,40.86,0.155653451,0,4,1,1009,1359,1.347,4,-572733253
21,21,1,Timesweep,16.991,41.16,0.380794461,17,4.17,,,,,,
22,22,1,Timesweep,16.991,41.46,0.385274964,34,4.34,,,,,,
23,23,1,Timesweep,16.424,41.76,0.410057471,51,4.51,,,,,,
24,24,1,Timesweep,23,42.06,0.179743224,68,4.68,,,,,,
25,25,1,Timesweep,16.991,42.36,0.398335694,85,4.85,,,,,,
26,26,1,Timesweep,16.991,42.66,0.402566807,102,5.02,,,,,,
27,27,1,Timesweep,16.424,42.96,0.426536313,119,5.19,,,,,,
28,28,1,Timesweep,23,43.26,0.202496533,136,5.36,,,,,,
29,29,1,Timesweep,16.991,43.56,0.414910468,153,5.53,,,,,,
30,30,1,Timesweep,16.991,43.86,0.418912449,170,5.7,,,,,,
31,31,1,Timesweep,16.424,44.16,0.442119565,187,5.87,,,,,,
32,32,1,Timesweep,23,44.46,0.224021592,204,6.04,,,,,,
33,33,1,Timesweep,16.991,44.76,0.430596515,221,6.21,,,,,,
34,34,1,Timesweep,30.038,60.06,0.2498002,238,6.38,,,,,,
35,35,1,Timesweep,30.033,45.36,0.006845238,255,6.55,,,,,,
36,36,1,Timesweep,29.431,45.66,0.033147175,272,6.72,,,,,,
37,37,1,Timesweep,29.647,45.96,0.032408616,289,6.89,,,,,,
38,38,1,Timesweep,29.768,46.26,0.034760052,306,7.06,2,GPC expected,GPC expected,GPC expected,7,-523699142
39,39,1,Timesweep,29.013,46.56,0.065302835,323,7.23,,,,,,
40,40,1,Timesweep,29.32,46.86,0.061459667,340,7.4,,,,,,
41,41,1,Timesweep,29.083,47.16,0.074968193,357,7.57,,,,,,
42,42,1,Timesweep,29.098,47.46,0.08034134,374,7.74,,,,,,
43,43,1,Timesweep,28.819,47.76,0.094880653,391,7.91,,,,,,
44,44,1,Timesweep,29.224,48.06,0.087890137,408,8.08,,,,,,
45,45,1,Timesweep,28.565,48.36,0.113988834,425,8.25,,,,,,
46,46,1,Timesweep,28.467,48.66,0.122472256,442,8.42,,,,,,
47,47,1,Timesweep,28.733,48.96,0.119699755,459,8.59,,,,,,
48,48,1,Timesweep,28.712,49.26,0.125700365,476,8.76,,,,,,
49,49,1,Timesweep,28.593,49.56,0.134594431,493,8.93,,,,,,
50,50,1,Timesweep,28.311,49.86,0.148285199,510,9.1,,,,,,
51,51,1,Timesweep,28.407,50.16,0.150508373,527,9.27,,,,,,
52,52,1,Timesweep,28.002,50.46,0.167598098,544,9.44,,,,,,
53,53,1,Timesweep,27.828,50.76,0.177659574,561,9.61,,,,,,
54,54,1,Timesweep,28.367,51.06,0.166656874,578,9.78,,,,,,
55,55,1,Timesweep,27.951,51.36,0.183674065,595,9.95,,,,,,
56,56,1,Timesweep,27.722,51.66,0.195063879,600,10,3,1070,1405,1.313,10,-460361816
57,57,1,No,27.817,51.96,0.196968822,,,,,,,,
58,58,1,No,27.93,52.26,0.198335247,,,,,,,,
59,59,1,No,27.252,52.56,0.222260274,,,,,,,,
60,60,1,No,27.237,52.86,0.227099886,,,,,,,,
61,61,1,No,27.398,53.16,0.226918736,,,,,,,,
62,62,1,No,27.088,53.46,0.239955107,,,,,,,,
63,63,2,No,27.481,53.76,0.233231027,,,,,,,,
64,64,2,No,27.34,54.06,0.241398446,,,,,,,,
65,65,2,No,27.171,54.36,0.250248344,,,,,,,,
66,66,2,No,27.209,54.66,0.253320527,,,,,,,,
67,67,2,No,26.902,54.96,0.265775109,,,,,,,,
68,68,2,No,27.535,55.26,0.252578719,,,,,,,,
69,69,2,No,26.572,55.56,0.282613391,,,,,,,,
70,70,2,No,26.756,55.86,0.281525242,,,,,,,,
71,71,2,No,27.248,56.16,0.272222222,,,,,,,,
72,72,2,No,27.365,56.46,0.272980871,,,,,,,,
73,73,2,No,27.019,56.76,0.28596723,,,,,,,,
74,74,2,No,27.162,57.06,0.285962145,,,,,,,,
75,75,2,No,26.892,57.36,0.296757322,,,,,,,,
76,76,2,No,26.819,57.66,0.302315297,,,,,,,,
77,77,2,No,26.937,57.96,0.302872671,,,,,,,,
78,78,2,No,27.368,58.26,0.295365602,,,,,,,,
79,79,2,No,26.661,58.56,0.317085041,,,,,,,,
80,80,2,No,26.836,58.86,0.316106014,,,,,,,,
81,81,2,No,27.151,59.16,0.311587221,,,,,,,,
82,82,2,No,27.517,59.46,0.305827447,,,,,,,,
83,83,2,No,27.832,59.76,0.301405622,,,,,,,,
84,84,2,No,28.241,60.06,0.29468032,,,,,,,,
